FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
Shore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1993,9,
Shore,,,,,Dabhol/Bechtel Inc,Completed,Infrastructure,1 Jul 1998,0,
Shore (unnamed seaport),,,,,Anglo Albanian Petro,Completed,Infrastructure,1 Jul 2000,15,
Shore at Abu Rudeis,,,,,SUCO,Completed,Infrastructure,1 Jul 1984,20,
Shore at Al Hammyah,,,,,BP,Completed,Infrastructure,1 Jul 1982,11,
Shore at Atasta (nitrogen plant),,,,,Pemex,Completed,Infrastructure,1 Jul 1999,8,
Shore at Bacton,,,,,Shell,Completed,Infrastructure,1 Jul 1994,11,
Shore At Das Island,,,,,Adma-Opco,Completed,Infrastructure,1 Jul 1993,18,
Shore at Das Island,,,,,ZADCO,Completed,Infrastructure,1 Jul 1995,0,
Shore at Dragoer (Across Strait of Oresund),,,,,Sydgas A.B.,Completed,Infrastructure,1 Jul 1984,0,
Shore at Estacao Robalo,,,,,Petrobras,Completed,Infrastructure,1 Jul 1998,8,
Shore at Exor I Refinery,,,,,JGC Energy,Completed,Infrastructure,1 Jul 1993,6,
Shore at Exor I Refinery,,,,,JGC Energy,Completed,Infrastructure,1 Jul 1993,6,
Shore at Ghanim Island,,,,,SUCO,Completed,Infrastructure,1 Jul 1986,12,
Shore at Harlingen,,,,,Petroland,Completed,Infrastructure,1 Jul 1986,3,
Shore at Jurong,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1992,0,12/10: Line from Indonesia to oil refinery on Jurong Island.
Shore at Kharg Island,,,,,IOOC,Completed,Infrastructure,1 Jul 1993,22,
Shore at Kikori,,,,,Chevron,Completed,Infrastructure,1 Jul 1992,15,
Shore at Kribi (Chad-Cameroon Pipeline),,,,,COTCO,Completed,Infrastructure,1 Jul 2003,15,
Shore at Kuntubu,,,,,Papua New Guinea Govt,Completed,Infrastructure,1 Jul 1991,0,
"Shore at Plaquemines Parish, La",,,,,Chevron,Completed,Infrastructure,1 Jul 1982,1,
Shore at Ras Shukheir,,,,,BP,Completed,Infrastructure,1 Jul 1983,17,
Shore at Rio Cullen,,,,,Total,Completed,Infrastructure,1 Jul 1988,12,
Shore at Rio Cullen,,,,,Total,Completed,Infrastructure,1 Jul 1988,12,
Shore at Rio Cullen,,,,,Total,Completed,Infrastructure,1 Jul 1988,11,
Shore at Salif,,,,,YEPCO,Completed,Infrastructure,1 Jul 1987,19,
Shore at Sharjah,,,,,Consolidated Transmission,Completed,Infrastructure,1 Jul 1992,31,
Shore at Theddlethorpe,,,,,,Completed,Infrastructure,1 Jul 1987,,
Shore near Abu Ras Bakr,,,,,BP,Completed,Infrastructure,1 Jul 1982,29,
"Shore near Hackenberry, La",,,,,Department of Energy,Completed,Infrastructure,1 Jul 1981,5,
Shore near Side,,,,,EMT,Completed,Infrastructure,1 Jul 1998,40,
Shore near Side,,,,,EMT,Completed,Infrastructure,1 Jul 1998,40,
Shore near Side,,,,,EMT,Completed,Infrastructure,1 Jul 1998,40,
Shore near Side,,,,,EMT,Completed,Infrastructure,1 Jul 1998,40,
Sidi Kerir Onshore Terminal,,,,,,Operational,Infrastructure,1 Jan 1974,,
Sitrah Refinery Expansion,,,,,,Planned,Infrastructure,1 Jul 2018,,01/2013:  the UK's HSBC and France's BNP Paribas have been appointed as joint financil advisers on Bahrain Petroleum Company's (Bapco) USD 6 billion Sitrah refinery expansion
Snam Rete Gas IRM,,,,,Snam Rete Gas,Working,Other,24 Jun 2013,,Snam Rete Gas tendering for pipeline inspection offshore Italy. Scope is for around 20 days using ROV support vessel.
South Pacific Seabed Survey,,,,,,Operational,,5 Sep 2012,,
South Pass Blk 42/45,,,,,Samedan,Completed,Infrastructure,1 Jul 1992,61,
Sparrows Point LNG,,,,,AES,Cancelled,Infrastructure,29 Oct 2018,,"2/11: discussions of redefining project; no formal application submitted; project cancelled
1/09: AES has received FERC approval"
SPM,,,,,HPCL,Completed,Infrastructure,1 Jul 2000,12,
SSTI,,,,,Dubai Petroleum,Completed,Infrastructure,1 Jul 1987,55,
