FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
SSWJ IRM,,,,,PGN GAS,Completed,Infrastructure,31 Jul 2010,,9/09: Tg. Juwita Samudera Kencana won the IRM contract. IRM will take place in mid 2010 by local vessel contractors.
State Blk 73,,,,,Duke Energy,Completed,Infrastructure,1 Jul 1998,3,
Staten Island,,,,,Iroquois Pipeline Oper Co,Completed,Infrastructure,1 Jul 1991,0,
Statoil well intervention,,,,Aasgard,Statoil,Planned,Other,1 Apr 2015,290,"10/12: Eide contract with Statoil has been cancelled, and Island contract reduced in length."
Stock Platform,,,,,Rutherford,Completed,Fixed,1 Jul 1982,15,
Storage facility at shore,,,,,Statoil,Completed,Infrastructure,1 Jul 1982,9,
Sture Onshore Terminal,,,,,,Completed,Infrastructure,14 Apr 1991,,
Sullom Voe,,,,,BP,Completed,Infrastructure,25 Nov 1978,,"handles production from more than two-dozen oilfields in the east Shetland Basin, between Shetland and Norway. 
New Gas terminal engineering to be done with the Laggan/Tormore fields"
"Taba, Egypt onshore through Gulf of Aqaba",,,,,Gaz de France,Completed,Infrastructure,1 Jul 2003,0,
Tangguh LNG,,,,,BP,Completed,Infrastructure,31 Jan 2009,,
Tanjung Piai oil storage,,,,,Petronas Carigali,Planned,Infrastructure,31 Dec 2016,,"07/14: Reclaimation work to begin by end 2014.
09/13:  Abu Dhabi is investing USD 6.75 billion for the construction of an onshore oil terminal in Tanjung Piai, Johor State in Malaysia"
"Tapis, Bekok & Pulai Fields",,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1983,49,
Tedut,,,,,,Completed,Infrastructure,1 Jun 1980,,
Tefran,,,,,,Completed,Infrastructure,1 Jun 1980,,
Tie-In 37 miles SW of Hong Kong,,,,,BP,Completed,Infrastructure,1 Jul 1994,8,
Total IRM Framework,,,,Laggan/Tormore,Total,Planned,Other,1 Jan 2020,613,"03/14: Provision of inspection, repair and maintenance (IRM) services in the North Sea for the next three to five years, starting from 2015."
Tramandai Terminal,,,,,,Completed,Infrastructure,1 Jun 1968,22,
Trengganu Crude Oil Terminal,,,,,ExxonMobil,Completed,Infrastructure,1 Jun 1983,26,
Trunkline off Malaysia,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1982,0,
UAE CALM,,,,,,Completed,Infrastructure,1 Jun 1995,20,
Undesignated (Stock Platform),,,,,,Completed,Fixed,1 Jul 1978,52,
UPGN Cubatao,,,,,,Completed,Infrastructure,1 Jan 2008,,
UPGN Sul Capixaba,,,,,,Operational,Infrastructure,1 Dec 2008,,
UTGC Cacimbas Unit,,,,,,Operational,Infrastructure,1 Jul 2006,,11/07 collects from Peroa/Golfinho Mod 2/Camarupim
UTGCA plant,,,,,Petrobras,Completed,Infrastructure,1 Sep 2010,,
Vopak ENOC Terminal,,,,,International Petroleum,Completed,Infrastructure,1 Jan 1999,,
Vopak Horizon Expansion 2012,,,,,Vopak,Operational,Infrastructure,14 May 2012,,08/12: Phase 6 expansion
Well intervention BG,,,,,BG,Working,,15 Jun 2012,,Long term contract with BG for Havila Phoenix (EXPRO/Fugro TSM). Call-off/frame agreement type contract.
West Cameron Area,,,,,Stingray Pipeline Company,Completed,Infrastructure,1 Jul 1987,69,
WLPA,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1984,,
Yamal LNG,,,,,NOVATEK,Planned,Infrastructure,15 Dec 2016,,3/11: FEED is being carried out by CB&I. To be completed in Q1 2012 and be followed by FID. The launch of the first train of the LNG plant is scheduled for 2016.
Zeebrugge Terminal,,,,,,Completed,Infrastructure,1 Jul 1987,,
Zirku Facilities Capacity Enhancement,,,,,ZADCO,Construction,Infrastructure,30 Jun 2016,,"04/2014: in line with ZADCO’s plan to increase production output on the Upper Zakum field from 550,000 to 750,000 barrels of oil per day (b/d)

10/12:  designed to increase UZ blend crude production to 1 million b/d from existing 580,000 b/d;  FEED to start in Q2 2013"
Agincourt,Australia/New Zealand,Australia,TL/6,Agincourt,Apache,Completed,Fixed,21 Aug 1997,8,
Airlie Island,Australia/New Zealand,Australia,,,WMC,Completed,Infrastructure,1 Jul 1987,8,
Angel,Australia/New Zealand,Australia,WA-3-L,Angel (+ North Rankin),Woodside,Operational,Fixed&SS,3 Oct 2008,80,
Arrow LNG,Australia/New Zealand,Australia,,,Shell,Planned,,1 Jun 2017,,"12/13: Received federal govt approval for LNG plant. Received state approval for LNG plant in Sep. 

Plans for four trains with capacity of up to 18 mtpa. Phase I of the project includes construction of two trains with 4 mtpa each to begin production in 2017 and 2018 respectively"
Athena (Aus),Australia/New Zealand,Australia,WA-17-L,Athena (Aus),,Completed,Subsea,15 Nov 2001,120,5/09: Athena field was closed about 1.5 years ago as production ran out.
Audacious/Tenacious,Australia/New Zealand,Australia,AC/P17,Audacious/Tenacious,PTTEP,Possible,Subsea,31 Jan 2016,160,"12/12: PTTEP have confirmed plans are in infancy, first production scheduled for 2016."
Australia Pacific LNG,Australia/New Zealand,Australia,,,ConocoPhillips,Construction,Infrastructure,24 May 2015,0,"10/13: APLNG and GLNG entered into gas swap and pipeline interconnection (onshore) agreements to improve efficiency. 

07/12: first phase of the APLNG project was sanctioned in July 2011 with the construction of an LNG train with a capacity of 4.5 million tpa. First exports are scheduled for 2015.
Project consists of three key parts:

Further development of Australia Pacific LNG's gas fields in the Surat and Bowen Basins in south-west and central Queensland.

Construction of a 520km gas transmission pipeline from the gas fields to an LNG facility on Curtis Island off the coast of Gladstone.

An LNG facility on Curtis Island off the coast of Gladstone, with the first two gas production trains processing up to 9 million tonnes per annum."
Balnaves,Australia/New Zealand,Australia,WA-356-P,Balnaves,Apache,Completed,FPS&SS,11 Aug 2014,135,"06/14: Startup expected mid year 2014, maybe slight delay to early July.
04/14: Startup expected in Q3 2014."
Barnett/Turtle,Australia/New Zealand,Australia,WA-442-P,Barnett/Turtle,Tangiers Petroleum,Possible,Fixed,31 Jul 2020,20,"01/14: Tangiers Petroleum exits Australia.
09/13: No news of development
06/10: DVM International renamed to Tangiers Petroleum"
Barracouta,Australia/New Zealand,Australia,,Barracouta,ExxonMobil,Completed,Fixed,1 Jun 1968,46,
Barrow Island LNG,Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Chevron,Construction,Infrastructure,15 Jan 2015,244,"11/13: Over 70% of project completed. 14 of 21 LNG Train 1 modules installed. 3 of 5 gas turbines installed. 43 of 56 jetty caissons installed. 

10/10: Build to handle output from Gorgon fields.

Note there is an onshore oilfield on this island already, alr with processing facilities."
Basker-Manta-Gummy (BMG) Phase I,Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Cooper Energy,Completed,FPS&SS,15 Oct 2005,120,11/10: Project has entered into Non-Production Phase. Use of FPSO Crystal Ocean has been suspended. Subsea facilities to stay in field for potential use for possible Phase 2 development. Evaluation of options for Phase 2 development plan will continue.
Basker-Manta-Gummy (BMG) Phase IA,Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Cooper Energy,Completed,Subsea,30 Sep 2008,120,
Basker-Manta-Gummy (BMG) Phase IB,Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),"Cooper Energy, Roc Oil",Completed,Subsea,15 Dec 2009,120,"7/09: The drilling programme involves Basker-3 workover, Basker-5 well workover and drilling of Basker-7. It started on 15 June 2009. The drilling is to enhance the production performance of Phase I."
Basker-Manta-Gummy (BMG) Phase II,Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Cooper Energy,Possible,FPS&SS,1 Nov 2018,133,"04/13: ROC continues to evaluate options for Phase II. May also farm-out or divest
4/12: field was shut down and further devl will likely not occur"
Bass Strait/Tasmanian Gas Pipeline,Australia/New Zealand,Australia,,,Duke Energy,Completed,Infrastructure,1 Jul 2002,0,
BassGas,Australia/New Zealand,Australia,T/L-1,Yolla,Origin,Completed,Fixed,5 Jul 2006,80,"04/12: Commissioning expected in Q3. Production restarted expected in July.
04/10: Bass Gas project resumes production.
12/09: Bass Gas project has been shut down for a major scheduled maintenance campaign and the facility will be offline until late February 2010."
Bayu-Undan Phase I,Australia/New Zealand,Australia,"ZOCA 91-12, ZOCA 91-13",Bayu-Undan,ConocoPhillips,Completed,FPS&Fixed&SS,1 Feb 2004,80,
Bayu-Undan Phase II,Australia/New Zealand,Australia,"ZOCA 91-12, ZOCA 91-13",Bayu-Undan,ConocoPhillips,Completed,Fixed,31 Jan 2006,80,
Bayu-Undan Phase III,Australia/New Zealand,Australia,"ZOCA 91-12, ZOCA 91-13",Bayu-Undan,ConocoPhillips,Construction,Subsea,2 Mar 2015,80,"09/14: First part of Phase III to commence in 2014
09/13: Planning for Phase II offshore drilling program underway. Potential development scheme for Calditta Barossa gas."
Bayu-Undan Survey work,Australia/New Zealand,Australia,"ZOCA 91-12, ZOCA 91-13",Bayu-Undan,ConocoPhillips,Completed,Other,31 Oct 2009,80,
Blackback,Australia/New Zealand,Australia,VIC P/24,Blackback,ExxonMobil,Completed,Subsea,10 Jun 1999,402,
Blacktip,Australia/New Zealand,Australia,WA-279-P,Blacktip,Eni,Operational,Fixed,14 Sep 2009,52,
Blacktip - IMR,Australia/New Zealand,Australia,WA-279-P,Blacktip,Eni,Working,Fixed,29 Feb 2016,52,IMR work scopes at the field
Blk TL/6,Australia/New Zealand,Australia,,,Apache,Completed,Infrastructure,1 Jul 1999,10,
Bonaparte LNG,Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,GDF Suez,Planned,Fixed,18 Jun 2019,100,"06/14: Proposed Bonaparte floating LNG (FLNG) project will not go into FEED phase. 
JV to explore other options which include a pipeline connection to Darwin instead. 
09/13: Currently in concept definition stage, FEED in early 2014, FID mid-2015, Production in 2019.
04/13: FID in 2014"
Botany Bay,Australia/New Zealand,Australia,,Botany Bay,Caltex,Completed,Infrastructure,1 Jul 1980,19,
Bream,Australia/New Zealand,Australia,VIC L/14,Bream,ExxonMobil,Completed,Fixed,1 May 1988,60,
Browse FLNG 1,Australia/New Zealand,Australia,WA-31-R,Browse LNG,Woodside,Planned,FPS&SS,1 Jul 2021,420,"07/14: FEED in H2 2014
12/13: Commence FEED in mid 2014 and target FID in H2 2015. 
09/13: Woodside to start BOD works, FEED in 2014.
08/13: Woodside may develop either one of Calliance, Brecknock or Torosa first."
Browse FLNG 2,Australia/New Zealand,Australia,WA-32-R,Browse LNG,Woodside,Planned,FPS&SS,1 Jul 2022,650,"08/13: Woodside may develop either one of Calliance, Brecknock or Torosa first."
Browse FLNG 3,Australia/New Zealand,Australia,WA-30-R,Browse LNG,Woodside,Planned,FPS&SS,1 Jul 2023,400,"08/13: Woodside may develop either one of Calliance, Brecknock or Torosa first."
Browse LNG (Onshore),Australia/New Zealand,Australia,,Browse LNG,Woodside,Cancelled,FPS&Fixed&SS,30 Nov 2017,490,08/13: Original James Price Point onshore development cancelled. Phased FLNG development
Buffalo,Australia/New Zealand,Australia,WA-260-P,Buffalo,"BHP Billiton, Nexen",Completed,FPS,29 Dec 1999,300,Vessel removed from field and will be deployed on the Jasmine field off Thailand for Pearl Oil.
Caldita/Barossa,Australia/New Zealand,Australia,,Caldita/Barossa,ConocoPhillips,Planned,FPS&SS,30 Nov 2018,186,"Caldita and Barossa will be developed via a floating LNG project, a tie-back to onshore facilities at Darwin or as back-fill to the Bayu Undan development"
Campbell,Australia/New Zealand,Australia,,Campbell,Apache,Completed,Fixed,1 Oct 1992,39,
Cash-Maple Development,Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,PTTEP,Planned,FPS&SS,31 Aug 2019,122,"04/14: Appraisal well to be drilled Q2 2014.
05/13: Prelim concept select by June 13, FEED decision by Dec 13, appraisal drilling btwn late 2013  to early  2014, FID by1Q 2015, First Gas 2019.

03/13: SBM/Linde not involved. Pre-FEED awarded to Hoegh LNG/KBR last year, with pair being candidate for lease (Hoegh owning/operating unit). EPC tender to release sometime this year, award in 2014. FID will likely be decided by 2014, and first gas is being considered for 2019."
Casino,Australia/New Zealand,Australia,VIC/P44,Casino,Santos,Completed,Subsea,1 Feb 2006,70,
Cassini,Australia/New Zealand,Australia,,Cassini,BHP Billiton,Completed,Subsea,1 Jun 1988,116,
Challis and Jabiru decommissioning,Australia/New Zealand,Australia,AC/L3,Challis-Cassini,PTTEP,Completed,FPS&SS,9 Jan 2012,77,
Challis-Cassini,Australia/New Zealand,Australia,AC/L3,Challis-Cassini,PTTEP,Completed,FPS&SS,1 Dec 1989,77,"Sold 11/98 to Gulf Australia; now company itself for sale by debt-laden Canadian parent, along w/other vsl JABIRU VENTURE. Majority/operator interest sold to Newfield Exploration 7/99. Newfield sold its interest to Coogee Resources Pty Ltd in Sept 2003. SALRAM = Single Anchor Leg Rigid Arm Mooring. Vessel will remain on-site until at least late 2007."
Chervil,Australia/New Zealand,Australia,TL/2,Chervil,WMC,Completed,Fixed,1 Aug 1989,13,
Chrysaor,Australia/New Zealand,Australia,WA-205-P,Chrysaor,Chevron,Possible,Subsea,30 Jun 2016,792,09/13: No news of development
Cimatti,Australia/New Zealand,Australia,WA-28-L,Cimatti,Woodside,Possible,Subsea,30 Sep 2018,547,04/13: Original dev. concept subsea tie-back to Enfield's FPSO is scrapped. Woodside to consider other alternatives.
Cliff Head,Australia/New Zealand,Australia,WA-286-P,Cliff Head,Roc Oil,Completed,Fixed,15 May 2006,18,11/11: Expansion opportunities being explored
Cobia,Australia/New Zealand,Australia,,Cobia,ExxonMobil,Completed,Fixed&SS,30 Jun 1979,79,
Concerto,Australia/New Zealand,Australia,WA-371-P,Concerto,Shell,Planned,Subsea,18 Jun 2016,237,
Coniston-Novara Development,Australia/New Zealand,Australia,WA-225-P,Coniston/Novara (+ Van Gogh),Apache,Construction,Subsea,31 Dec 2014,390,"10/14: First production in Q4 2014.
08/14: First production scheduled for 2014.
02/14: Start up in Q3 2014
12/13: Phase one of the offshore installation campaign was successfully completed. The final phase of subsea installation work is planned for the first quarter of 2014. It will consist of the recovery and replacement of Van Gogh flowlines and tie in of the GPM, and all associated testing. The estimated duration is approximately 20 days.
04/11: Coniston project is a tie-back to Ningaloo Vision FPSO located in Apache's Van Gogh field.."
Cooper (Australia),Australia/New Zealand,Australia,388,Cooper,Woodside,Completed,Infrastructure,1 Jul 1995,120,
Corallina Laminaria,Australia/New Zealand,Australia,,Corallina Laminaria,Woodside,Completed,Subsea,7 Nov 1999,399,
Cowle,Australia/New Zealand,Australia,,Cowle,WAPET,Completed,Infrastructure,13 May 1991,12,
Crux FLNG,Australia/New Zealand,Australia,AC/L9,Crux,Shell,Possible,FPS&SS,1 Aug 2019,168,"04/14: Auriga well to be drilled in Q4 2014.
06/13: Commercial viability of a standalone FLNG in Crux hinges on the well result of Auriga and Caelum prospects. To submit FDP in early 2017.

5/12: Possible standalone FLNG instead of SSTB to Prelude. Earlier proposals suggested the Browse Basin field would be a Prelude backfill development option. Now Nexus is looking at a standalone FLNG development."
Crux Liquids Project,Australia/New Zealand,Australia,AC/L9,Crux,Shell,Cancelled,FPS&SS,13 Feb 2014,168,"07/12: Development decision expected on July 3-4. Likely a tie back to Shell's Prelude.
10/11: FID expected end 2011. Appraisal and engineering studies completed.
12/09: Nexus terminated previous FPSO deal with Viking and is in talks with SBM. Project on hold pending sale of part of Crux interest. Auriga discovery boosts production potential."
CWLH redevelopment,Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Woodside,Completed,FPS&SS,24 Sep 2011,85,"07/11: Project is 94 per cent complete, on queue to start producing in Q4 2011

04/11: Scope includes FPSO replacement and refurbishment of associated subsea infrastructure - recovery and replacement installation of 3 risers, 20km of flowlines, riser base rectification works, and pre-commissioning assistance.

07/10: All topside modules and the rigid turret have been installed on the Okha FPSO."
Cyrano,Australia/New Zealand,Australia,R3/R1,Cyrano,Oil Basins,Possible,FPS&Fixed,10 Oct 2016,15,"07/14: Development study incorporates a conventional jackup-converted mobile offshore production unit (MOPU), a floating storage and offloading (FSO) vessel and shuttle tanker for transportation."
Dixon,Australia/New Zealand,Australia,WA-28-P,Dixon,Woodside,Possible,Subsea,31 Dec 2018,90,
Dockrell,Australia/New Zealand,Australia,"WA-5-L, WA-6-L, WA-28-P",Dockrell,Woodside,Possible,Subsea,31 Dec 2018,128,
Dolphin,Australia/New Zealand,Australia,,Dolphin,ExxonMobil,Completed,Fixed,1 Jun 1990,42,
Double Island,Australia/New Zealand,Australia,TL/6,Double Island,Apache,Completed,Fixed,19 Feb 2003,8,
East Spar,Australia/New Zealand,Australia,WA-13-L,East Spar,Apache,Completed,Subsea,30 Nov 1996,140,
Echo-Yodel,Australia/New Zealand,Australia,WA-23-L,Echo-Yodel,Woodside,Completed,Subsea,24 Dec 2001,135,"02/13: Gas condensate field located in 430 ft (130 m) water depth, 15 miles (23 km) southwest from the Goodwyn A platform (GWA) on the North West Shelf of Western Australia."
Echo-Yodel Phase II,Australia/New Zealand,Australia,WA-23-L,Echo-Yodel,Woodside,Possible,Subsea,31 Dec 2018,135,"02/11: Echo/Yodel is already producing, under pdn unit Echo-Yodel."
Echuca Shoals FLNG,Australia/New Zealand,Australia,WA-377-P,Echuca Shoals/Fossetmaker,Nexus Energy,Possible,FPS&SS,1 Aug 2020,184,11/13:  Nexus Energy completed the floating liquefied natural gas (FLNG) development feasibility study for Echuca Shoals in eastern Browse Basin and is currently considering the results of the study
Egret (Aus),Australia/New Zealand,Australia,,Egret,Woodside,Possible,Subsea,1 Jun 2015,90,04/13: Woodside has no further mention of Egret field development.
Elang-Kakatua,Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,,Completed,FPS,21 Jul 1998,80,Area A dvlpmt. Will be refurbished by new owner and leased for use. Upgrade of FSO Skua Venture I. Modec owner and operator under 5 yr lease agreement.
Endymion,Australia/New Zealand,Australia,TL/1,Endymion,Apache,Completed,XReach,1 Nov 2002,39,extended reach from Sinbad platform
Enfield,Australia/New Zealand,Australia,WA-28-L,Enfield,,Operational,FPS,26 Jul 2006,566,
Enfield,Australia/New Zealand,Australia,WA-28-L,Enfield,Woodside,Completed,Subsea,26 Jul 2006,566,
Equus LNG,Australia/New Zealand,Australia,WA-390-P,Equus LNG,Hess,Possible,FPS&SS,1 Feb 2019,"1,119","05/14: Project still on hold, no mention in Hess reports.
10/13: Equus project is on hold as Hess restructures 
06/13: FID will not happen in 2013
9/12: EOIs sent out related to FPS and subsea, online early 2018, FID expected mid-2013"
Evans Shoal,Australia/New Zealand,Australia,"NT/P48, NT/RL7",Evans Shoal,Magellan Exploration LLC,Possible,Fixed,15 Jul 2016,108,"Possible 6.5 Tcf of gas. Development expected to cost USD 7-8 billion, exclusive of shipping costs."
Fletcher-Finucane Oil Development,Australia/New Zealand,Australia,WA-191-P,Finucane South/Fletcher (+ Mutineer-Exeter),Santos,Completed,Subsea,19 May 2013,140,05/12: Production started
Flounder,Australia/New Zealand,Australia,,Flounder,ExxonMobil,Completed,Fixed,1 Jun 1984,93,
Fortescue,Australia/New Zealand,Australia,,Fortescue,ExxonMobil,Completed,Fixed,1 Jun 1983,69,
Geryon/Orthrus tieback,Australia/New Zealand,Australia,WA-267-P,Geryon/Orthrus tieback,Chevron,Possible,Subsea,1 Jan 2020,"1,231",11/10 Part of Greater gorgon fields. Considered as possible tiebacks to Gorgon gas project (which is to be developed till 2016). Subsequent phase to come in 2020.
Gibson/South Plato,Australia/New Zealand,Australia,,Gibson/South Plato,Apache,Completed,Subsea,30 May 2002,8,
Gipsy/Rose/Lee,Australia/New Zealand,Australia,,Gipsy/Rose/Lee,Apache,Completed,Subsea,1 Jul 2001,25,
Gladstone LNG (GLNG),Australia/New Zealand,Australia,,,Santos,Construction,Infrastructure,1 Jun 2015,0,"10/14: First gas in pipeline. Plant to receive first gas before the end of the year. First LNG is expected in 2015.
06/14: Project is over 80% complete and on track for first LNG in 2015.
10/13: APLNG and GLNG entered into gas swap and pipeline interconnection (onshore) agreements to improve efficiency. 

07/12: Budget raised by USD 2.5 billion, taking it to USD 18.5 billion total

03/12: One year into construction, the project is on budget and on target for first production in 2015.

09/11: The Government has granted Pipeline Licence (PPL) 161, allow the connection future gas supply from the Callide Infrastructure Corridor to the Company’s wholly owned LNG project at Fishermans Landing, in the Port of Gladstone (LNG Project). The pipeline will initially be capable of supplying 520 TJ/day (180 PJ/year) for the 3 million tonne per annum LNG Project but has expansion capabilities."
Goodwyn (1995),Australia/New Zealand,Australia,"WA-5-L, WA-6-L",Greater Western Flank Phase 1 (GWF-1),Woodside,Completed,Fixed,1 Feb 1995,131,
