FieldsBase Pipeline Search - Data Download,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:14 for Dirk Rook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Start region,End region,Start country,End country,Start block,End block,Start field,End field,Start water depth (m),End water depth (m),Project,Operator,Status,Type,Function,Product,Diameter (inch),Length (km),Installation year,Remark
,,,,,,,,15,0,"Coden Ship Channel, Mobile County",Anadarko,Installed,Trunkline,Production,Gas,36,747,2001,"DLB 801 is laying the shallow water portion - 45 miles. LB 200 is laying the deepwater portion - 419 miles. Total length of p/l on and offshore = 753 miles. Installation expected to be complete by late Dec. 2001. Pipe in-service on May 28, 2002. Largest natural gas pipeline in the GOM."
,,,,,,Colombo Harbour,,0,30,Colombo Harbour,Ceylon Petroleum,Installed,Exportline,Production,Oil,36,9,1987,
,Northwest Europe,,United Kingdom,,3/7a,,Columba E Ext,139,,Columba E/Columba Ph IV,Chevron,Installed,Umbilical,,,,8,2006,
,Southeast Asia,,Malaysia,,,,,41,41,Congkak tieback,Murphy,Installed,Umbilical,,,2,3,2004,
,Northwest Europe,,Ireland,,18/20,,Corrib,0,355,Corrib,Shell,Installed,Umbilical,Production,,6,85,2013,"Planning permission for the onshore terminal and pipeline was declined in ""2003. New submission now seems likely to get appoval"
,"USA, Gulf of Mexico",,USA,,Garden Banks - 244,,Cottonwood,135,593,Cottonwood,Petrobras,Installed,Umbilical,,,,27,2007,super duplex umbilical
,,,,,,,,29,0,Covenas 1996,Ocensa,Installed,Exportline,Production,Oil,42,13,1996,
,,,,,,,,59,0,CPC Pipeline,Caspian Pipeline,Installed,Exportline,Production,Oil,42,5,2000,Caspian Pipeline Consortium. Fluor Daniel = engrg.
,,,,,,,,58,0,CPC Pipeline,Caspian Pipeline,Installed,Exportline,Production,Oil,42,4,2000,Caspian Pipeline Consortium. Fluor Daniel = engrg.
,,,,,,,,60,0,CPC Pipeline,Caspian Pipeline,Installed,Exportline,Production,Oil,42,2,2002,Caspian Pipeline Consortium. Fluor Daniel = engrg.
,Northwest Europe,,United Kingdom,,9/28a,,Crawford/Porter,110,110,Crawford/Porter,EnQuest,Possible,Umbilical,,,0,27,2019,
,Indian Ocean,,India,,,,,,,D32/D40,Reliance,Planned,Umbilical,,,2,100,2018,
,Southeast Asia,,Vietnam,,,,,110,110,Dai Hung Phase II and III,PVEP,Installed,Umbilical,,,,9,2007,9km of combined service umbilicals.
,Caspian Sea,,Azerbaijan,,,,Darvin Bank,30,30,Darvin Bank,SOCAR,Installed,Umbilical,Production,Oil,0,8,1950,Estimated First Production Can Find Nothing To Confirm Exact Date.
,Middle East,,United Arab Emirates,,,,El Bunduq,0,40,Das Island,Bunduq Oil,Installed,Exportline,Production,Oil,18,26,1989,
,Northwest Europe,,United Kingdom,,48/30,,Deborah,0,32,Deborah gas storage (ex Hewett),Eni,Possible,Umbilical,,,2,41,2021,
,"USA, Gulf of Mexico",,USA,,,,,894,915,Deimos Phase I,Shell,Installed,Umbilical,,,,4,2006,
