FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Dufresne,Australia/New Zealand,Australia,WA-408-P,,,Prospect,,,390,07/13: Drilling Dufresne-1
Dunlop,Australia/New Zealand,Australia,WA-390-P,,Hess,Discovery,,,"1,150",
Dunsborough,Australia/New Zealand,Australia,WA-286-P,,,Discovery,Oil & Gas,,45,
Dusky,Australia/New Zealand,Australia,VIC/P49,,,Prospect,,,,
East Kingfish,Australia/New Zealand,Australia,VIC/L7,,ExxonMobil,Discovery,,,80,Oct93-'no plans to develop in near future'.Once mooted as possible subsea tie-in to kingfish b
East Spar,Australia/New Zealand,Australia,WA-13-L,East Spar,Apache,Production,,30 Nov 1996,140,Gas/condensate.Plt dev exp'd originally.June 95-opt for subsea sys -tied to varanus island.Startup nov 96.Apache becomes operator-97.
Echo-Yodel,Australia/New Zealand,Australia,"WA-23-L, WA-28-P","Echo-Yodel Phase II, Echo-Yodel",Woodside,Production,,24 Dec 2001,135,
Echuca Shoals/Fossetmaker,Australia/New Zealand,Australia,WA-377-P,Echuca Shoals FLNG,Nexus Energy,Possible,Condensate & Gas,1 Aug 2020,184,"Fossetmaker-1 was drilled in August 2007,  7 kilometres east of Echuca Shoals-1, to evaluate the possible eastern extension of the Echuca Shoals gas."
Egret,Australia/New Zealand,Australia,,Egret (Aus),Woodside,Possible,,1 Jun 2015,90,"04/13: No mention of development of Egret field.
11/10:Concept select studies have commenced on the Egret field as a potential tie-in to the Cossack Wanaea Lambert Hermes (CWLH) fields and the Okha facility."
Elang West,Australia/New Zealand,Australia,ZOCA 91-12,,BHP Billiton,Discovery,Oil & Gas,,90,
Elang-Kakatua,Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,BHP Billiton,Production,,21 Jul 1998,87,
Elder,Australia/New Zealand,Australia,WA-149-P,,Wesminco Oil,Discovery,Gas,,14,
Elfin,Australia/New Zealand,Australia,WA-268-P,,,Discovery,Gas,,332,
Endymion,Australia/New Zealand,Australia,TL/1,Endymion,Apache,Production,Gas,1 Nov 2002,39,"Endymion drilled from sinbad platform, well completed and producing (Gas/conden)"
Enfield,Australia/New Zealand,Australia,"WA-271-P, WA-28-L",Enfield,Woodside,Production,,26 Jul 2006,566,02/07: usd 390m for well workovers and infill drilling in 2007. Another prodn wells+gas inj. Currently 5 producers.
Equus LNG,Australia/New Zealand,Australia,WA-390-P,Equus LNG,,Planned,Gas,1 Feb 2019,"1,119","05/14: Project on hold since 2013, no mention in Hess reports.
06/13: FID will not happen in 2013
9/12: EOIs sent out related to FPS and subsea, online early 2018, FID expected mid-2013"
Eris,Australia/New Zealand,Australia,WA-34-L,,Woodside,Discovery,Gas,,180,
Evans Shoal,Australia/New Zealand,Australia,"NT/P48, NT/RL7",Evans Shoal,Shell,Possible,Gas,15 Jul 2016,108,"08/09: Santos is still reviewing the commercialization options of its Evans Shoal gas field, along with the Caldita and Barossa fields. No start up date given. Likely 2014-2015.
07/06:poss 6.6tcf of gas-dvlpmt expcted to cost $7-8billion exclusive of shipping costs"
Evans Shoal South,Australia/New Zealand,Australia,"NT/P48, NT/RL7",,,Abandoned,,,100,"07/06: The well was not drilled to the planned total depth of 4,225 metres due to poor hole
conditions, and has now been plugged and abandoned as programmed."
Falcone,Australia/New Zealand,Australia,WA-271-P,,Woodside,Discovery,,,"1,396",11/04: exploratory drilling late 2004/early 2005. Same permit as enfield + vincent. Potential new oil hub with substantial follow-up
Felix,Australia/New Zealand,Australia,VIC/P57,,Hibiscus Petroleum,Prospect,Oil,,40,
Ferrier,Australia/New Zealand,Australia,VIC/P67,,,Prospect,Condensate & Gas,,95,
Finucane South/Fletcher,Australia/New Zealand,Australia,WA-191-P,Fletcher-Finucane Oil Development,Santos,Production,Oil,19 May 2013,146,
Firebird,Australia/New Zealand,Australia,,,ConocoPhillips,Discovery,,,79,Firebird-1 exploration well plugged + abandoned. Commercial flow rates not established. 19km from bayu-undan.
Flounder,Australia/New Zealand,Australia,,Flounder,ExxonMobil,Production,,1 Jun 1984,93,Single integrated platform development tied back to tuna via two pipelines - shut-in 1988 for a time
Focus,Australia/New Zealand,Australia,WA-342-P,,,Prospect,Oil,,92,
Fortescue,Australia/New Zealand,Australia,,Fortescue,ExxonMobil,Production,,1 Jun 1983,69,Single platform development exporting oil via pipeline to halibut
Foyle,Australia/New Zealand,Australia,ZOCA 96-16,,,Prospect,Oil,,82,Potential 150+ MMbbls oil
Frankland,Australia/New Zealand,Australia,WA-286-P,,Roc Oil,Abandoned,,,41,06/12: Relinquished in 2010 according to Roc Oil
Frigate Deep,Australia/New Zealand,Australia,WA-18-P,,Santos,Discovery,Gas,,89,
Galloway,Australia/New Zealand,Australia,VIC/P39,,Nexus Energy,Discovery,,,49,"08/06: galloway-1 reached total depth of 1,606 metres. More likely to contain oil than gas. If successful, angus to be follow-up well."
Gemfish,Australia/New Zealand,Australia,VIC/P54,,,Prospect,Gas,,56,South of Longtom field
Geryon/Orthrus tieback,Australia/New Zealand,Australia,"WA-24-R, WA-267-P",Geryon/Orthrus tieback,Chevron,Possible,,1 Jan 2020,"1,215","11/10 Considered as possible tiebacks to Gorgon, which is to be developed till 2016."
Gibson/South Plato,Australia/New Zealand,Australia,TL/6,Gibson/South Plato,Apache,Production,,30 May 2002,8,
Ginger,Australia/New Zealand,Australia,TL/1,,Apache,Discovery,,,26,21m gross gas column has been intersected located within harriet joint venture acreage
Gipsy/Rose/Lee,Australia/New Zealand,Australia,TL/1,Gipsy/Rose/Lee,Apache,Production,Condensate & Gas,1 Jul 2001,25,
Golden Beach,Australia/New Zealand,Australia,VIC/RL1,,Cape Energy Group,Discovery,,,20,06/06: extended reach drilling from onshore location. Shedden uhde carrying out feed work. 08/07: see www.Goldenbeachproject.Com
Gorgon Phase II - Fourth Train Expansion,Australia/New Zealand,Australia,"WA-18-R, WA-2-R, WA-268-P",Gorgon Phase II - Fourth Train Expansion,Chevron,Possible,,1 Jan 2017,"1,199",
Gorgon/Jansz/Io,Australia/New Zealand,Australia,"WA-18-R, WA-2-R","Barrow Island LNG, Gorgon Phase I, Gorgon Phase III",Chevron,Construction,Condensate & Gas,15 Jan 2015,797,
Grace,Australia/New Zealand,Australia,WA-314-P,,,Prospect,Gas,,530,"10/13: Spudded Grace-1 on Oct 3

Straddles WA-314-P and WA-315-P"
Grange,Australia/New Zealand,Australia,WA-356-P,,,Discovery,Gas,,250,
Greater Sunrise,Australia/New Zealand,Australia,"JDPA 03-19, JPDA 03-20, NT/P12, NT/RL2, NT/RL4",Sunrise LNG,Woodside,Possible,,1 Apr 2021,160,
Greater Western Flank Phase 1 (GWF-1),Australia/New Zealand,Australia,"WA-5-L, WA-6-L","Goodwyn (1995), Greater Western Flank Phase 1 (GWF-1)",Woodside,Construction,Oil & Gas,1 Feb 1995,130,"10/13: 60% complete. On schedule for 1st product in early 2016 and on budget of AUD2.5bn. The 6th owner of the GWF-1 is Japan Australia LNG (MIMI) with 16.67%.
 
01/12: GWF Phase 1 will see the development of the Goodwyn GH and Tidepole fields. The broader GWF consists of 16 fields to the south west of the Goodwyn A (GWA) platform.Wilcox, Haycock, Pueblo also part of the fields. Together they are estimated to hold up to 3 Tcf of recoverable gas and up to 100 MMbbl of recoverable condensate. The GWF fields sit in water depths of 230 to 425 fsw (70 to 130 msw). GWF Phase 1 - approved in December - will be developed via a subsea tie-back to the existing GWA platform."
Greater Western Flank Phase 2 (GWF-2),Australia/New Zealand,Australia,"WA-28-P, WA-5-L",Greater Western Flank Phase 2 (GWF-2),Woodside,Possible,Condensate & Gas,31 Dec 2016,78,
Griffin,Australia/New Zealand,Australia,WA-10-L,Griffin,BHP Billiton,Production,,16 Jan 1994,134,
Gudrun,Australia/New Zealand,Australia,TL/1,,Apache,Discovery,Oil,,24,
Guilford,Australia/New Zealand,Australia,WA-269-P,,Woodside,Discovery,,,870,Wireline logs completed but no details yet.
Gwydion,Australia/New Zealand,Australia,WA-424-P,,,Sub-Commercial,Oil,,90,
Halibut,Australia/New Zealand,Australia,,Halibut,ExxonMobil,Production,,1 Mar 1970,72,Single integrated platform with export line to shore first oil field discovered in bass strait
