FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,WA-28-P,Echo-Yodel,#3,Echo-Yodel,Woodside,Installed,Gas Producer,Satellite,2001,FMC,140,
Australia/New Zealand,Australia,WA-28-P,Echo-Yodel,#1,Echo-Yodel,Woodside,Installed,Gas Producer,Satellite,2001,FMC,140,
Australia/New Zealand,Australia,WA-23-L,Echo-Yodel,#4,Echo-Yodel Phase II,Woodside,Possible,,Satellite,2018,,133,
Australia/New Zealand,Australia,WA-377-P,Echuca Shoals/Fossetmaker,#1,Echuca Shoals FLNG,Nexus Energy,Possible,Gas Producer,,2020,,170,
Australia/New Zealand,Australia,WA-377-P,Echuca Shoals/Fossetmaker,#1,Echuca Shoals FLNG,Nexus Energy,Possible,Gas Producer,,2020,,170,
Australia/New Zealand,Australia,,Egret,#1,Egret (Aus),Woodside,Possible,,Satellite,2015,,90,
Australia/New Zealand,Australia,,Egret,#1,Egret (Aus),Woodside,Possible,,Satellite,2015,,90,
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,#2,Elang-Kakatua,BHP Billiton,Installed,Oil Producer,Satellite,1998,Cooper Cameron,80,OCEAN BOUNTY drlg.
Australia/New Zealand,Australia,,Elang-Kakatua,#3,Elang-Kakatua,BHP Billiton,Installed,Oil Producer,Satellite,1998,Cooper Cameron,82,
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,#4,Elang-Kakatua,BHP Billiton,Installed,Oil Producer,Satellite,1998,Cooper Cameron,82,OCEAN BOUNTY drlg.
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,#1,Elang-Kakatua,BHP Billiton,Installed,Oil Producer,Satellite,1998,Cooper Cameron,80,OCEAN BOUNTY drlg.
Australia/New Zealand,Australia,WA-271-P,Enfield,#1,Enfield,Woodside,Installed,Water Injector,Satellite,2006,FMC,600,
